bhk,rent,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,id
2,17000,1000,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,104bbcc1
2,15000,980,1 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,ef8321ee
2,18000,900,3 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,798a64f7
3,80000,1050,16 out of 31,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,b19dc177
3,12500,1250,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,7c3e5ee4
2,12000,1300,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,b8d1c85a
3,120000,2110,3 out of 4,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent,ef632290
1,4700,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,d30f79cf
3,27000,1050,Ground out of 4,Carpet Area,Delhi,Unfurnished,Family,2,Contact Agent,2fb16ae5
2,100000,850,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,3219b5be
3,37500,1475,1 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,6ec645b7
2,85000,650,2 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,aa4b27d5
2,18000,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,36510bd9
2,20000,500,4 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner,f6633a1f
1,6000,600,1 out of 2,Carpet Area,Chennai,Unfurnished,Family,1,Contact Owner,2c8d6f46
2,9500,650,Ground out of 3,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,f6eccce0
2,8000,900,Ground out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,4454b31c
1,5200,300,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,d2001654
3,50000,1625,8 out of 11,Super Area,Chennai,Furnished,Bachelors/Family,3,Contact Agent,37702185
1,27000,435,3 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,f33f7ae8
1,8500,580,3 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,15895ce2
1,7500,400,2 out of 2,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,4431bf78
2,36000,650,3 out of 4,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,93358096
1,28000,400,1 out of 5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,c425c670
3,110000,1350,12 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent,9486dd60
3,40000,1030,10 out of 14,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,f1c6feb7
2,18500,650,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,161b3433
2,8500,60,2 out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,280b3718
3,10000,1250,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,4c15dc21
3,28000,900,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner,d6cf95f6
2,5500,380,1 out of 1,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,db9af2f9
2,10000,1000,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,c7f88ec8
1,4500,230,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3c331613
1,5000,300,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,59129aac
3,30000,1800,5 out of 5,Carpet Area,Hyderabad,Unfurnished,Family,3,Contact Owner,1434f31f
2,4000,600,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,26e7458d
2,7900,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner,91032ad7
2,32000,1250,3 out of 7,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,4fd67f03
3,16000,1350,1 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,544e6553
2,13000,200,3 out of 3,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner,3c996ac6
3,35000,1956,1 out of 9,Super Area,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner,e37a48cf
2,15000,800,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,5ba1dce7
2,17000,1220,1 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,3ba27d9d
2,7500,400,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,e2154fea
2,9500,720,5 out of 7,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,ca02fe21
2,7500,550,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,c0ba17c2
3,37000,150,1 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,3,Contact Agent,1f66dc9f
2,15000,800,1 out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,a694ce2f
1,6500,450,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,1,Contact Owner,dca2f08f
2,13000,1000,2 out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,d1984582
4,17000,1600,2 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner,1ab84860
2,7000,650,Ground out of 3,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,667be543
5,50000,3500,2 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,6,Contact Owner,e9a296a6
2,20000,500,1 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,681655b7
2,14000,800,1 out of 4,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,36001738
2,20000,1350,8 out of 14,Super Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,e1ee22a3
2,8000,800,1 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,93a82987
2,12000,1140,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,9fcc0b7f
1,5000,300,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,e6c3dd63
3,25000,1146,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,9c990648
1,20000,700,1 out of 2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,601ca99d
2,10000,1070,2 out of 5,Carpet Area,Hyderabad,Unfurnished,Family,2,Contact Owner,b8961725
2,10000,1125,2 out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,172ba59e
2,16000,1210,3 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,d3aca5da
2,12000,650,Ground out of 1,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,827bfc45
2,13000,1250,Ground out of 1,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,232758d2
2,20000,1600,1 out of 2,Super Area,Hyderabad,Unfurnished,Family,3,Contact Owner,f6b6855c
5,300000,4050,Ground out of 5,Super Area,Hyderabad,Unfurnished,Bachelors/Family,4,Contact Owner,7ce4b1ce
2,10000,90,Ground out of 3,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,ef36435c
3,15000,1500,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,0502b504
2,11000,1125,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,f1926f16
3,15000,1100,1 out of 10,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,38481c57
3,53000,2300,1 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors,3,Contact Agent,a1edeb85
2,15000,1000,2 out of 5,Super Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,c218cb5e
3,25000,1250,2 out of 8,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,59be321e
3,30000,1800,5 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,232a9db7
2,25000,1100,Ground out of 3,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,faa414d6
2,18000,1050,1 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4bcc6482
2,15000,1100,Ground out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,600edbb0
2,13000,1000,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,e624882b
3,15000,1095,2 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,4a755b4c
2,40000,600,15 out of 20,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,cb6c53bc
2,15000,900,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,1fb3ece3
3,22000,1100,4 out of 4,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,b6be5e13
2,15000,900,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,d60d68da
3,12000,1100,1 out of 1,Super Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,f04b1d72
3,170000,1400,4 out of 8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,620807a1
2,20000,1500,Ground out of 1,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,7593098f
1,7500,630,3 out of 12,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,6371a563
2,7000,1100,3 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,fc9b86c5
1,13000,550,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,070ee49d
3,20000,1100,1 out of 2,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,a1d13170
3,17000,950,Ground out of 2,Carpet Area,Chennai,Unfurnished,Bachelors,3,Contact Owner,643fd520
2,10500,1000,Ground out of 1,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,9419ed22
3,18000,1000,7 out of 18,Carpet Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1a82834c
4,130000,4800,11 out of 19,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,12962953
2,14000,1000,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,4f4b1854
3,16000,900,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3461c990
4,60000,272,Ground out of 4,Carpet Area,Delhi,Furnished,Bachelors,3,Contact Agent,e9f8027c
1,6800,600,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,2504194e
3,26000,2000,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,b0e9220e
2,13000,850,Lower Basement out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,26bb69c2
1,50000,413,5 out of 6,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,967d1c50
3,30000,1200,1 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,23b180c0
3,22000,1500,2 out of 4,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3c4a80db
2,20000,1162,2 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,8e338d1c
1,8500,400,Ground out of 1,Carpet Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,49b85de0
2,18000,900,1 out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,88770522
2,15000,800,Ground out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,070712c2
3,30000,2000,1 out of 1,Carpet Area,Chennai,Furnished,Bachelors/Family,3,Contact Owner,3631973a
2,24000,990,14 out of 30,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,ca94f8cf
2,15000,100,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner,f88f8632
3,25000,919,8 out of 13,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,974863dc
2,9000,850,Ground out of 2,Carpet Area,Hyderabad,Semi-Furnished,Family,2,Contact Owner,947b79cc
2,25000,1100,2 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,c50a0276
2,10000,700,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,f369b411
3,35000,1300,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,b202977c
3,35000,1320,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,beba4d5d
2,9500,1100,Ground out of 3,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,43dfdd26
2,8000,600,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,9302fab1
2,10000,850,2 out of 2,Super Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,b18a8b28
3,28000,1800,18 out of 19,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,39b0e488
2,40000,850,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,9e434fbc
3,55000,1150,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,6368c9ba
2,12000,500,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,7b5d15db
2,7000,500,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,49e3d046
2,5000,800,Ground out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,a9334987
2,11000,600,Ground out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,10d293a9
1,5000,450,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,0fdf6a63
2,15000,1000,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1e7b95c5
2,24000,1200,1 out of 3,Carpet Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3acbb0cb
2,10000,850,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,d049c44e
1,45000,450,5 out of 7,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,2e946dff
1,6500,400,Ground out of 2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,ec2b67d5
1,6800,300,1 out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,05a8ea53
2,13000,550,1 out of 2,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,8bd7954c
1,12000,48,1 out of 2,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,4323bf77
2,22000,800,3 out of 3,Super Area,Delhi,Furnished,Bachelors/Family,2,Contact Owner,807c96dd
3,15000,1100,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9e44d277
3,75000,1255,12 out of 17,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Owner,93e35532
2,21000,850,1 out of 1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,9aaa0b52
3,65000,825,20 out of 22,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent,961cc96a
2,13000,1300,2 out of 2,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,12f64411
1,40000,444,8 out of 11,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,c6d28f73
1,24000,710,1 out of 1,Super Area,Kolkata,Furnished,Bachelors,1,Contact Agent,2952aeca
3,35000,1330,1 out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,a5133248
4,40000,1500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,c30749cf
2,7000,850,Ground out of 3,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,be4d979e
2,50000,750,5 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,88547be1
4,65000,272,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent,b0458b35
2,32000,1000,1 out of 5,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,667e624f
1,6000,200,Ground out of 5,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,14b21325
2,12000,68,3 out of 5,Super Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4286e9c7
4,42000,2700,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,4,Contact Agent,2a371960
2,9500,700,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,be057d4c
2,12000,1100,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Family,1,Contact Owner,fe85b11f
1,22000,433,2 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent,641e2c9f
1,11000,600,4 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,d2f75e82
2,19000,1800,1 out of 2,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Owner,4d5bc991
1,15000,600,5 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,e9c4ee88
1,10000,450,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,0f1fa005
2,32900,1200,3 out of 6,Carpet Area,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,cef23914
1,24000,424,16 out of 23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4088f87e
1,14000,700,5 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,7072c31e
2,16500,90,4 out of 5,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,6c49656c
2,26000,1300,1 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,712bfe41
2,27000,1000,4 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,1784f0e3
1,27000,472,13 out of 14,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,8d8ebea7
2,8500,600,1 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,0dd8e2fe
2,12000,1000,3 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,6272cce8
4,30000,4000,Ground out of 3,Super Area,Kolkata,Furnished,Bachelors/Family,3,Contact Agent,df518c2e
3,24000,1430,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,8eac9d03
2,19000,800,1 out of 4,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,23a0538f
2,20000,1105,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4e3bd263
2,15000,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,ca9e263d
3,55000,2430,4 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,643fec50
2,12000,700,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,31b22127
1,5700,450,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Family,1,Contact Owner,de0230a7
2,15000,800,1 out of 5,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,bacb3e7c
2,7500,600,Ground out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,b2d788c3
2,18000,1000,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,ba801e78
3,22000,1500,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,76635f43
3,21500,1320,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,83ee3bf6
2,18000,90,2 out of 4,Super Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,efb8aadd
2,6000,600,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,259e58e1
1,15000,600,5 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,878ffa15
2,14000,700,Ground out of 2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7224f997
2,15000,800,2 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1fb27bde
2,17000,900,4 out of 5,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,567a54ae
3,40000,180,Ground out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent,dfd4b5c5
2,27000,1200,2 out of 5,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,fc3ca194
2,15000,850,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,a3e5f3c6
2,70000,1050,14 out of 15,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,259fe583
3,20000,1650,1 out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,ebc6c3b8
1,5000,300,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,4b7b3e2a
