bhk,rent,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,id
3,40000,1900,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,87ea7b5e
3,42000,1600,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,3fda26f8
1,3000,80,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,a726ba86
1,18000,650,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,189dfab3
2,18000,985,1 out of 4,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,9e4e2c26
1,21000,500,7 out of 11,Carpet Area,Chennai,Furnished,Bachelors/Family,1,Contact Agent,8e2037be
2,14000,1200,2 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1721c6c1
2,13000,700,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,798a912d
2,13000,900,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,0deb6c0e
3,30000,900,3 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,3,Contact Agent,732217de
2,18000,1099,2 out of 2,Super Area,Chennai,Semi-Furnished,Family,2,Contact Owner,c3ca77f8
2,7000,780,5 out of 14,Carpet Area,Chennai,Unfurnished,Family,2,Contact Owner,dd824a3b
1,10000,250,2 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,f1edd94d
1,15000,250,Ground out of 4,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,c65e5f68
4,27000,2520,2 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Family,5,Contact Owner,898f2543
1,18000,500,1 out of 2,Super Area,Chennai,Furnished,Bachelors/Family,1,Contact Owner,4746fa1e
3,14000,1800,1 out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2dad9548
2,10000,140,2 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4f0e7419
1,7500,450,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,d8c61d3c
1,6500,400,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,ddbf4be1
2,12500,400,1 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,e7e0e6d4
4,100000,3300,Ground out of 14,Carpet Area,Hyderabad,Semi-Furnished,Family,4,Contact Agent,3d0caa63
1,8000,580,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,5e647c2c
3,18000,1220,6 out of 10,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,77caf4ed
3,70000,1150,7 out of 41,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,73fb9760
2,14000,780,2 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,5a229d43
3,25000,1600,2 out of 5,Super Area,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2bcbae72
3,31000,1757,9 out of 10,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,6a3236f5
2,12000,1200,1 out of 1,Carpet Area,Chennai,Unfurnished,Family,3,Contact Owner,0798e6d7
2,10000,1100,5 out of 5,Super Area,Hyderabad,Furnished,Family,2,Contact Owner,767cac35
1,7000,250,1 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2d201417
1,40000,450,8 out of 13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,a1eb7ce1
1,20000,465,3 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner,0311e179
2,27500,1000,4 out of 4,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,e182c217
1,25000,420,17 out of 18,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,f56b036b
1,20000,280,11 out of 24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,e0f05ed4
1,23000,440,Ground out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,9fd21ec5
2,40000,600,4 out of 10,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,cde51585
3,36000,1771,10 out of 18,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,ead98e0e
2,15000,650,1 out of 3,Carpet Area,Chennai,Unfurnished,Bachelors,2,Contact Owner,a51a0312
1,21000,385,Ground out of 5,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,f3b17985
2,9000,1200,3 out of 4,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,b08fff87
3,18000,1950,2 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,426076eb
1,12000,420,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,90f91999
4,180000,1750,9 out of 31,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent,6b2e24cf
2,32000,590,7 out of 12,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,a7e22a90
2,36000,620,3 out of 14,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,999bda02
2,34000,583,10 out of 23,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,ed665fd6
1,28500,565,1 out of 8,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,8625b37c
2,14000,600,2 out of 7,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,91dbcea3
4,680000,1962,18 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,158a6668
2,13500,600,4 out of 7,Carpet Area,Chennai,Furnished,Bachelors/Family,2,Contact Agent,65385e55
1,23000,410,4 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,6439568b
2,90000,900,60 out of 71,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,c1183f16
3,20000,1252,3 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,8102ceb4
3,100000,2000,25 out of 50,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,98f59d0c
4,250000,2120,46 out of 76,Carpet Area,Mumbai,Furnished,Bachelors/Family,5,Contact Agent,388e77e8
1,23500,400,1 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,0514ab18
2,33000,825,12 out of 13,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4b1a62d5
6,20000,2400,Ground out of 1,Super Area,Hyderabad,Unfurnished,Family,4,Contact Owner,ce1c14f7
1,16500,470,11 out of 14,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,bd7c809d
2,21000,1005,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,de3944e4
1,100000,400,9 out of 10,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,b7015805
2,65000,950,9 out of 28,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,b3ad32a3
2,110000,875,12 out of 14,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,a4a92582
3,130000,937,16 out of 27,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,8ce2f7cd
2,19800,1070,3 out of 4,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,5a2a2a38
3,30000,1200,1 out of 2,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,ba2e8aa5
2,55000,650,8 out of 18,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,f395e7bb
1,22000,400,3 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,ee3ef934
1,24000,500,3 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,3f989fc0
2,20000,1100,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,6fb8da2d
2,10000,800,2 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3141dfc5
3,55000,2150,3 out of 6,Super Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,4317a76b
2,7500,700,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,59f1d794
2,32000,610,11 out of 18,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,b1d2e166
2,22000,640,21 out of 21,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,c1401c9a
3,65000,240,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent,3e9a3838
2,65000,935,2 out of 4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,c1d2fb84
3,85000,1000,4 out of 11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,827ac818
4,90000,2100,3 out of 3,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,58a5cb49
2,16500,550,4 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4a6bfd19
2,14000,1200,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,77d859e3
3,20000,1500,19 out of 31,Super Area,Chennai,Unfurnished,Bachelors,3,Contact Owner,f62f9738
1,6000,650,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,a4a15d15
4,55000,2000,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent,7e60b660
3,22000,1374,Ground out of 16,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Agent,4a5b9415
2,9000,550,Ground out of 2,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,3e7955b8
2,12000,630,3 out of 5,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,e9e37f38
1,7000,400,4 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,403c6155
2,36000,650,10 out of 12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,90b93058
1,32000,420,1 out of 3,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,ebcab2a9
1,10000,30,1 out of 5,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,8b32237f
1,13500,520,Ground out of 4,Super Area,Delhi,Furnished,Bachelors/Family,1,Contact Owner,3c6f432e
2,38000,650,4 out of 10,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent,84b0b577
1,26000,400,4 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,00a6915f
1,40000,420,5 out of 7,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,84c5bfbb
2,80000,2200,1 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,3,Contact Agent,2554f29a
1,18000,375,6 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,f90a34bc
4,45000,1016,3 out of 36,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,3aec82c1
4,70000,2800,6 out of 10,Carpet Area,Delhi,Unfurnished,Bachelors,4,Contact Agent,6102ac29
1,4500,300,3 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,02dcd8a9
2,95000,1050,25 out of 42,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,7c338763
1,15000,455,2 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,71942625
1,17500,400,4 out of 4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,918fc64d
1,16000,410,9 out of 22,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,fc8d9e6e
1,35000,463,5 out of 7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,176908bf
2,25000,750,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent,bec6514b
1,8500,300,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,371914c4
2,18000,900,Ground out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent,7240a8ae
3,15000,1500,Lower Basement out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,b3691602
2,65000,710,11 out of 14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4260e7ea
2,30000,600,2 out of 5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,17cc4efa
1,17000,330,Ground out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,fee8346a
1,8000,400,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent,a6021438
3,39000,1550,1 out of 13,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,42c8a5c6
2,21000,630,8 out of 12,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent,8fc1bb57
3,35000,950,1 out of 4,Carpet Area,Delhi,Furnished,Bachelors,2,Contact Agent,8f6dd7f2
1,11000,480,4 out of 5,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,62928c5d
1,40000,500,13 out of 14,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,7c7b84ee
2,16000,700,4 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,1,Contact Agent,f0136ff6
4,270000,1649,18 out of 29,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent,56cfa95a
1,25000,400,2 out of 13,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,5dca4777
2,57000,710,15 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,c32a67a0
2,28000,600,1 out of 5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,418e1915
2,14000,900,2 out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,78c217d6
1,14000,305,6 out of 24,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent,1382ac8c
3,85000,1000,16 out of 25,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,eab06fe0
2,24000,1350,1 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,d000123f
3,80000,1100,18 out of 22,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,b5586099
1,35000,415,2 out of 7,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,8350495d
4,300000,1600,43 out of 78,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,9d94ce17
1,15000,435,2 out of 5,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,02e0a51e
1,9000,400,2 out of 3,Carpet Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,d8fd4a14
2,25000,850,2 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,7e002fb4
1,20000,450,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,5f7eed61
3,36000,1500,2 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,831a25e1
2,45000,710,8 out of 16,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,c43d770f
4,130000,1650,13 out of 18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,3a69aa1b
4,120000,4000,9 out of 9,Super Area,Chennai,Semi-Furnished,Bachelors,4,Contact Agent,5f17af19
3,30000,1500,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner,ae7e5d9d
2,25000,1250,Ground out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,fb51e987
2,11500,1000,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,05c97210
3,45000,1700,3 out of 3,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,29485fc5
2,11500,973,4 out of 4,Carpet Area,Chennai,Semi-Furnished,Family,2,Contact Owner,d12cd408
2,25000,680,2 out of 4,Carpet Area,Delhi,Furnished,Bachelors,1,Contact Agent,28849cc5
3,22000,1500,4 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,d6120ce8
2,15000,1150,4 out of 5,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,ad1c5432
3,150000,1250,5 out of 8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,dcd7d0e3
1,9000,550,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,74ddf50e
2,30000,1200,2 out of 25,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,b37da9e1
3,20000,1500,1 out of 6,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,5ed1cabe
3,65000,1850,5 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors,3,Contact Owner,ae504127
2,12500,1010,5 out of 5,Carpet Area,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,a64274d1
1,18000,520,2 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,63b3e5c3
4,85000,2550,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,4,Contact Agent,eda51eb3
2,12000,1200,1 out of 3,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,510b67b9
3,32000,1700,2 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,53ced1ca
2,12000,1050,3 out of 4,Super Area,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner,56cc265c
2,7000,900,Ground out of 2,Super Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,46182b2f
2,9800,1200,Ground out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,ed3493c6
2,45000,1600,1 out of 6,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,368edffd
3,22000,1400,1 out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,8e563270
2,12000,800,Ground out of 6,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,05810a31
4,150000,3000,1 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent,ba27e7d3
3,180000,1190,5 out of 12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,7cb3f423
2,13000,950,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,fcfa1e88
2,20000,750,3 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,64ae0270
3,29000,1800,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,9e8bec5e
2,10000,700,Ground out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1ab1a2fd
2,16000,850,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,54b0f970
2,15000,700,Ground out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,5cfab308
2,11000,800,1 out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,0569f0f3
2,11000,1145,1 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,76b046e9
3,40000,1600,1 out of 2,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,4b5553b2
3,35000,1000,3 out of 6,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,d29667fb
2,16000,1100,4 out of 5,Carpet Area,Hyderabad,Furnished,Bachelors,2,Contact Owner,8e09198a
2,90000,854,15 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,3b928622
2,25000,850,1 out of 15,Super Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,a314277e
3,11000,800,Ground out of 3,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,b7fe6daf
3,15000,1150,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,d690707b
2,8500,500,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,c184301c
1,15000,500,2 out of 3,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,527dc687
2,9000,500,Ground out of 2,Carpet Area,Chennai,Furnished,Bachelors/Family,2,Contact Owner,c092406c
2,9500,650,3 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,08ba9591
2,12000,1000,1 out of 3,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,35ccaee7
2,8000,550,4 out of 4,Carpet Area,Hyderabad,Unfurnished,Bachelors,1,Contact Owner,f9100ae9
2,12000,700,1 out of 2,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,e4e36b42
3,60000,1500,3 out of 4,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,44bc6800
2,10000,120,Ground out of 2,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,0c08e787
3,30000,1800,1 out of 2,Carpet Area,Chennai,Semi-Furnished,Bachelors,3,Contact Owner,e8222aa0
1,30000,490,2 out of 4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,4e86d8c0
2,14000,800,2 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,fa7df1ec
2,8000,190,1 out of 1,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,8f5e44e9
2,9000,800,Ground out of 1,Carpet Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,088a4ed7
